image_path,num_hands_detected,max_confidence,flagged
data/raw_healthy_sources\healthy_0181.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0182.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0183.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0184.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0185.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0186.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0187.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0188.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0189.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0190.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0191.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0192.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0193.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0194.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0195.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0196.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0197.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0198.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0199.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0200.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0201.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0202.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0203.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0204.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0205.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0206.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0207.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0208.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0209.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0210.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0211.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0212.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0213.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0214.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0215.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0216.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0217.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0218.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0219.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0220.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0221.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0222.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0223.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0224.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0225.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0226.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0227.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0228.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0229.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0230.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0231.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0232.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0233.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0234.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0235.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0236.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0237.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0238.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0239.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0240.jpg,1,0.720,True
data/raw_healthy_sources\healthy_0241.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0242.jpg,0,0.000,False
